ProductUpcCode,Purpose,ComfortRating,IntendedPlace,MaterialName
201,Sitting in the lawn.,10,Lawn,hac habitasse
202,Resting.,9,Living Room,non
203,Sleeping.,6,Bedroom,id
204,To hold a bed.,5,Bedroom,vulputate vitae
205,Sitting in the lawn.,5,Lawn,ac tellus
206,Resting.,3,Living Room,lacinia eget
207,Sleeping.,10,Bedroom,vehicula condimentum
208,To hold a bed.,6,Bedroom,luctus
209,Sitting in the lawn.,5,Lawn,ipsum primis
210,Resting.,7,Living Room,nunc purus
211,Sleeping.,8,Bedroom,odio condimentum
212,To hold a bed.,10,Bedroom,pulvinar nulla
213,Sitting in the lawn.,2,Lawn,a
214,Resting.,1,Living Room,sit amet
215,Sleeping.,7,Bedroom,bibendum
216,To hold a bed.,7,Bedroom,in faucibus
217,Sitting in the lawn.,8,Lawn,non velit
218,Resting.,6,Living Room,in
219,Sleeping.,3,Bedroom,odio in
220,To hold a bed.,0,Bedroom,sapien a
221,Sitting in the lawn.,0,Lawn,dictumst morbi
222,Resting.,1,Living Room,etiam
223,Sleeping.,1,Bedroom,vestibulum ante
224,To hold a bed.,5,Bedroom,nisi volutpat
225,Sitting in the lawn.,6,Lawn,justo
226,Resting.,9,Living Room,sodales scelerisque
227,Sleeping.,0,Bedroom,ullamcorper
228,To hold a bed.,0,Bedroom,ac
229,Sitting in the lawn.,10,Lawn,lectus
230,Resting.,9,Living Room,ante
231,Sleeping.,7,Bedroom,dolor vel
232,To hold a bed.,6,Bedroom,iaculis
233,Sitting in the lawn.,7,Lawn,mauris ullamcorper
234,Resting.,6,Living Room,odio curabitur
235,Sleeping.,3,Bedroom,ullamcorper
236,To hold a bed.,8,Bedroom,potenti cras
237,Sitting in the lawn.,2,Lawn,odio
238,Resting.,1,Living Room,elit proin
239,Sleeping.,9,Bedroom,pulvinar
240,To hold a bed.,9,Bedroom,egestas metus
241,Sitting in the lawn.,3,Lawn,in
242,Resting.,8,Living Room,ac nibh
243,Sleeping.,1,Bedroom,aliquet ultrices
244,To hold a bed.,4,Bedroom,vel nisl
245,Sitting in the lawn.,3,Lawn,pede justo
246,Resting.,7,Living Room,sollicitudin
247,Sleeping.,4,Bedroom,ultrices aliquet
248,To hold a bed.,1,Bedroom,quam fringilla
249,To hold a bed.,4,Lawn,et
250,To hold a bed.,10,Living Room,pellentesque volutpat
