MaterialName,RarenessRating
hac habitasse,76
non,3
id,46
vulputate vitae,72
ac tellus,92
lacinia eget,50
vehicula condimentum,41
luctus,74
ipsum primis,100
nunc purus,50
odio condimentum,49
pulvinar nulla,13
a,9
sit amet,74
bibendum,98
in faucibus,8
non velit,79
in,68
odio in,45
sapien a,35
dictumst morbi,67
etiam,84
vestibulum ante,36
nisi volutpat,80
justo,71
sodales scelerisque,25
ullamcorper,29
ac,20
lectus,60
ante,64
dolor vel,71
iaculis,25
mauris ullamcorper,32
odio curabitur,72
ullamcorper,3
potenti cras,91
odio,49
elit proin,61
pulvinar,24
egestas metus,18
in,94
ac nibh,12
aliquet ultrices,49
vel nisl,31
pede justo,9
sollicitudin,10
ultrices aliquet,47
quam fringilla,31
et,92
pellentesque volutpat,33
